,A,B,C,D,E,F,G,H,I,J,K,L
a,-0.27,0.032461955,-0.089322482,-0.131058541,-0.208,-0.01935789,-0.268,0.026691748,-0.157,0.361,-0.285,0.233
b,-0.131902047,0.033565426,0.177,-0.273,0.173,0.273,0.067815226,0.206,0.366,-0.384,0.201,0.071533582
c,-0.074574896,0.008521179,0.052359948,0.034098346,0.043247946,-0.193,-0.131617403,0.348,0.105252857,-0.026604863,-0.157,0.315
d,-0.191,-0.0079662,-0.06972762,-0.024728626,-0.257,-0.136,-0.14,-0.244,0.080117161,0.042534218,0.065784971,-0.013303873
e,0.159,0.073785519,0.049386391,-0.130428763,-0.090056283,0.14,-0.020645101,-0.12983925,0.123114225,-0.175,0.141,-0.115862553
f,0.002097005,-0.031765555,0.063451021,0.148,0.023837377,-0.286,-0.028831099,0.261,0.325,-0.255,0.12975749,0.213
