Label,2-methyl-1-butanol(=active amyl alcohol),1-hexanol,2-methylbutyl acetate,hexyl acetate,hexyl 2-methylbutanoate,hexyl hexanoate
CA,575894,1087963,4871216,2829744,5468666,707641
CA,544124,1570413,3533312,2609490,4917898,833470
CA,365134,893707,4127440,3190751,4713427,900168
Cold,992093,74281,1630676,97291,112402,38506
Cold,1146148,104455,1018524,66531,285819,35349
Cold,1140030,14397,854143,42525,141427,14397
Cold+1-MCP,719389,759777,5260132,1805160,1204241,289241
Cold+1-MCP,1362250,524990,4062800,830251,1134559,163408
Cold+1-MCP,457726,587941,4813332,2184571,2627777,624186
